name,lat,lon,class_group,recclass,mass_g,fall,year
Roebourne,-22.33333,118.0,Iron,"Iron, IIIAB",86860.0,Found,1892
Roper River,-15.0,135.0,Iron,"Iron, IIIAB",6400.0,Found,1953
Rowena,-29.8,148.63333,Stony,H6,34700.0,Found,1962
Seemore Downs 001,-30.58333,125.21667,Stony,L/LL4,429.0,Found,1991
Silverton (New South Wales),-31.88333,141.2,Stony,L6,350.7,Found,1883
Sleeper Camp 001,-30.25,126.33333,Stony,L6,1250.0,Found,1962
Sleeper Camp 002,-30.48333,126.25,Iron,Iron,39.5,Found,1966
Sleeper Camp 003,-30.3,126.03333,Stony,L6,322.0,Found,1989
Sleeper Camp 004,-30.36667,126.18333,Stony,LL4,115.0,Found,1991
Sleeper Camp 006,-30.16667,126.40433,Stony,CK4,6.04,Found,1992
Sleeper Camp 007,-30.16,126.38667,Stony,L4,60.39,Found,1992
Sleeper Camp 008,-30.2,126.5,Stony,H5,16.37,Found,1992
Sleeper Camp 009,-30.16283,126.40833,Stony,L6,145.3,Found,1992
Sleeper Camp 010,-30.15,126.42833,Stony,H4-6,9.63,Found,1992
Sleeper Camp 011,-30.16333,126.4085,Stony,L6,15.06,Found,1992
Sleeper Camp 012,-30.16867,126.28717,Stony,L6,117.3,Found,1991
Sleeper Camp 013,-30.12417,126.4515,Stony,LL5-7,87.4,Found,1993
Sleeper Camp 014,-30.18333,126.36667,Stony,LL5,66.0,Found,1995
Sleeper Camp 015,-30.0275,126.27017,Stony,H5,3.5,Found,1994
Sleeper Camp 016,-30.03183,126.27283,Stony,L6,173.8,Found,1994
Sleeper Camp 017,-30.01283,126.25783,Stony,H5,173.8,Found,1994
Sleeper Camp 018,-30.10233,126.3515,Stony,H6,14.24,Found,1993
Sleeper Camp 019,-30.10517,126.35,Stony,CK4/5,11.5,Found,1993
Sleeper Camp 020,-30.1135,126.25117,Stony,LL3.9/4,18.6,Found,1993
Sleeper Camp 021,-30.11833,126.24767,Stony,LL5,25.6,Found,1993
Sleeper Camp 022,-30.1065,126.26267,Stony,L5,63.5,Found,1993
Sleeper Camp 023,-30.10867,126.26033,Stony,H4,72.3,Found,1993
Sleeper Camp 024,-30.1055,126.2555,Stony,L5,30.3,Found,1993
Sleeper Camp 025,-30.17917,126.40056,Stony,H5,192.0,Found,2005
Sleeper Camp 026,-30.17361,126.43444,Stony,L6,150.0,Found,2005
Sleeper Camp 027,-30.16028,126.34833,Stony,H5,10.85,Found,2005
Snake Bore,-31.1,138.26667,Stony,H5,66.0,Found,1975
Starvation Lake,-30.46667,141.08333,Stony,LL3.9,12000.0,Found,1975
Stockyard Creek,-23.25556,116.90083,Stony,H5,2700.0,Found,2008
Streaky Bay,-32.86667,134.28333,Stony,L4,909.0,Found,1989
Tabbita,-34.05,145.83333,Stony,L6,3100.0,Found,1983
Tawallah Valley,-15.7,135.66667,Iron,"Iron, IVB",75750.0,Found,1939
Thackaringa,-32.11667,141.08333,Stony,H5,438.6,Found,1974
Thompson Brook,-33.61667,115.91667,Iron,"Iron, IAB-ung",76.6,Found,1918
Thunda,-25.7,143.05,Iron,"Iron, IIIAB",62100.0,Found,1881
Thylacine Hole 001,-31.58333,127.6,Stony,H4/5,101.5,Found,1977
Thylacine Hole 002,-31.56667,127.8,Stony,L6,3.8,Found,1978
Tibooburra,-29.43333,142.01667,Stony,CV3,18.6,Found,1970
Tieraco Creek,-26.33333,118.33333,Iron,"Iron, IIIAB",41700.0,Found,1922
Tookabarnoo,-27.86667,141.73333,Stony,H4,157.0,Found,1992
Turriff,-35.48333,142.6,Stony,L5,218.0,Found,1994
Ularring,-29.96667,120.6,Stony,L6,271.8,Found,1970
Veevers,-22.96833,125.36861,Iron,"Iron, IIAB",300.0,Found,1984
Vincent,-35.01667,139.91667,Stony,L5,430.0,Found,1926
Virginia 001,-32.06667,125.15,Stony,L6,191.5,Found,1980
Wallareenya,-20.66667,118.83333,Iron,"Iron, IIIAB",4386.0,Found,1965
Warburton Range,-26.28333,126.66667,Iron,"Iron, IVB",56930.0,Found,1963
Warden,-23.26667,116.93333,Stony,H5,7868.0,Found,1989
Watson 001,-30.5,131.55,Iron,"Iron, IIE",93000.0,Found,1972
Watson 002,-30.71667,131.51667,Stony,CK3-an,83.8,Found,1991
Watson 003,-30.48333,131.55,Stony,H4,2.6,Found,2008
Watson 004,-30.48333,131.55,Stony,H4,1.3,Found,2008
Watson 005,-30.5,131.7,Stony,H5,1.6,Found,2009
Watson 006,-30.5,131.7,Stony,L5,53.0,Found,2009
Watson 007,-30.48333,131.68333,Stony,EL3,19.5,Found,2009
Watson 008,-30.5,131.68333,Stony,H5,1.5,Found,2009
Watson 009,-30.5,131.68333,Stony,H5,1.0,Found,2009
Watson 010,-30.5,131.71667,Stony,H5,19.3,Found,2009
Watson 011,-30.51667,131.5,Stony,H4,4.1,Found,2009
Watson 012,-30.56667,131.5,Stony,H7,103.1,Found,2009
Watson 013,-30.575,131.50164,Stony,H3,47.1,Found,2010
Webb,-31.69167,127.78333,Stony,L6,410.5,Found,1968
Wedderburn,-36.43333,143.63333,Iron,"Iron, IAB-sLH",210.0,Found,1951
Weekeroo Station,-32.26667,139.86667,Iron,"Iron, IIE-an",94200.0,Found,1924
West Forrest,-30.75,127.98333,Stony,H5,170.6,Found,1971
West Reid,-30.05,128.93333,Stony,H6,627.7,Found,1969
Whitula Creek,-25.31583,142.44467,Stony,H5,271.0,Found,1991
Wilbia,-26.45,131.0,Stony,H5,94.0,Found,1965
Wildara,-28.23333,120.85,Stony,H5,500000.0,Found,1968
Willaroy,-30.1,143.2,Stony,H3.8-an,4030.0,Found,1970
Willow Grove,-38.10306,146.18111,Iron,"Iron, ungrouped",11700.0,Found,1995
Windimurra,-28.09697,118.45561,Stony,H4/5,30000.0,Found,2004
Wingellina,-26.05,128.95,Stony,H4,200.0,Found,1958
Witchelina,-30.0,138.0,Stony,H4,3637.0,Found,1920
Wolf Creek,-19.3,127.76667,Iron,"Iron, IIIAB",760000.0,Found,1947
Wonyulgunna,-24.91667,120.06667,Iron,"Iron, IIIAB",37800.0,Found,1937
Wooramel,-25.65,114.21667,Stony,L5,71000.0,Found,1969
Wynella,-28.95,148.13333,Stony,H4,40000.0,Found,1945
Yalgoo,-28.38333,116.71667,Stony,LL,850.0,Found,1937
Yandama,-29.75,141.03333,Stony,L6,5800.0,Found,1914
Yardea,-32.45,135.55,Iron,"Iron, IAB-MG",3290.0,Found,1875
Yaringie Hill,-32.08287,135.64985,Stony,H5,5750.0,Found,2006
Yarle Lakes 001,-30.31667,131.46667,Stony,H5,913.0,Found,1990
Yarle Lakes 002,-30.36417,131.3745,Stony,H4/5,500.0,Found,1991
Yarle Lakes 003,-30.28,131.35833,Stony,L6,14.0,Found,1993
Yarle Lakes 004,-30.5,131.46667,Stony,CK4,4.6,Found,2009
Yarri,-29.45,121.21667,Iron,"Iron, IIIAB",1500.0,Found,1908
Yarroweyah,-35.98333,145.58333,Iron,"Iron, IIAB",9600.0,Found,1903
Yayjinna,-32.03333,126.175,Stony,L6,262.5,Found,1965
Yenberrie,-14.25,132.01667,Iron,"Iron, IAB-MG",132000.0,Found,1918
Yilmia,-31.19167,121.53333,Stony,EL6,40000.0,Found,1969
Youanmi,-29.5,118.75,Iron,"Iron, IIIAB",118400.0,Found,1917
Youndegin,-32.1,117.71667,Iron,"Iron, IAB-MG",3800000.0,Found,1884
