datetime,year,month,lat,lon,geomag_lat,solar_zenith_angle,colours_naked_eye,colours_camera,special_forms
2024-05-11,2024,5,-35.1,138.6,-46.2,99.3,"red,green,purple/pink/magenta","red,purple/pink/magenta",
2024-05-11,2024,5,-42.8,146.0,-53.8,101.6,"red,green,purple/pink/magenta","red,green,blue,purple/pink/magenta",Dunes
2024-05-11,2024,5,-43.4,147.2,-54.3,109.2,"red,green,purple/pink/magenta","red,green,blue,purple/pink/magenta",
2024-05-11,2024,5,-34.2,142.1,-45.0,114.7,purple/pink/magenta,"red,purple/pink/magenta",
2024-05-11,2024,5,-41.4,147.1,-52.2,117.1,"red,green,purple/pink/magenta","red,green,purple/pink/magenta",
2024-05-11,2024,5,-41.4,147.1,-52.2,114.3,"green,purple/pink/magenta","red,green,blue,purple/pink/magenta",
2024-05-11,2024,5,-43.0,147.1,-53.9,100.8,"red,green,purple/pink/magenta","red,green,purple/pink/magenta",STEVE
2024-05-11,2024,5,-43.4,147.2,-54.3,117.2,"green,purple/pink/magenta","red,green,purple/pink/magenta",
2024-05-11,2024,5,-36.7,141.6,-47.7,136.4,"red,green,purple/pink/magenta","red,green,purple/pink/magenta",
2024-05-10,2024,5,-43.2,147.8,-54.0,113.8,"red,green,blue,purple/pink/magenta","red,green,blue,purple/pink/magenta",Dunes
2024-05-11,2024,5,-43.0,147.4,-53.9,105.8,"green,purple/pink/magenta","green,blue,purple/pink/magenta",
2024-05-11,2024,5,-42.9,147.3,-53.7,115.4,"red,green,blue,purple/pink/magenta","red,green,blue,purple/pink/magenta",
2024-05-11,2024,5,-42.9,147.3,-53.7,103.6,"red,green,purple/pink/magenta","red,green,purple/pink/magenta",
2024-05-11,2024,5,-42.8,147.3,-53.7,130.6,"green,purple/pink/magenta","red,green,purple/pink/magenta",
2024-05-11,2024,5,-38.2,145.3,-49.0,138.0,"red,green,purple/pink/magenta","red,green,blue,purple/pink/magenta",
2024-05-12,2024,5,-33.5,151.4,-43.3,139.1,green,green,
2024-05-11,2024,5,-41.5,146.7,-52.4,100.1,"red,green,blue,purple/pink/magenta","red,green,blue,purple/pink/magenta","Dunes,STEVE"
2024-05-11,2024,5,-42.9,147.3,-53.7,100.9,"red,green,purple/pink/magenta","red,green,purple/pink/magenta",Dunes
2024-05-11,2024,5,-42.9,147.3,-53.7,100.9,"red,green,blue,purple/pink/magenta","red,green,blue,purple/pink/magenta",Dunes
2024-05-11,2024,5,-43.0,147.3,-53.9,100.4,"red,green,purple/pink/magenta","red,green,purple/pink/magenta",STEVE
2024-05-11,2024,5,-37.7,145.1,-48.4,109.5,"red,green,purple/pink/magenta","red,green,blue,purple/pink/magenta",
2024-05-11,2024,5,-35.0,138.9,-46.1,104.1,purple/pink/magenta,"red,green,purple/pink/magenta",
2024-05-10,2024,5,-43.1,147.8,-53.9,126.6,"red,purple/pink/magenta","red,green,blue,purple/pink/magenta",STEVE
2024-05-11,2024,5,-33.8,150.7,-43.8,125.9,purple/pink/magenta,purple/pink/magenta,
2024-05-11,2024,5,-38.0,144.1,-48.8,97.2,"red,purple/pink/magenta","red,green,blue,purple/pink/magenta",
2024-05-11,2024,5,-37.5,143.6,-48.4,108.3,"green,purple/pink/magenta","red,green,purple/pink/magenta","Dunes,SAR arc"
2024-05-11,2024,5,-43.2,147.1,-54.1,101.2,"red,green,purple/pink/magenta","red,green,blue,purple/pink/magenta",
2024-05-11,2024,5,-16.8,145.4,-26.5,147.4,"red,green,purple/pink/magenta","red,green,purple/pink/magenta",
2024-05-10,2024,5,-20.7,116.8,-31.0,111.9,purple/pink/magenta,purple/pink/magenta,
2024-05-11,2024,5,-35.3,136.9,-46.5,145.2,"red,green,purple/pink/magenta","red,green,purple/pink/magenta",STEVE
2024-05-10,2024,5,-41.2,144.7,-52.2,127.4,"red,green,purple/pink/magenta","red,green,blue,purple/pink/magenta","Dunes,SAR arc"
2024-05-11,2024,5,-32.0,116.0,-43.6,110.6,"red,purple/pink/magenta",purple/pink/magenta,
2024-05-11,2024,5,-34.5,145.7,-45.0,112.5,"red,green","red,green",
