Latitude,Longitude,LocalDate,LimitingMag,SQMReading,CloudCover,Country
-38.0592,145.344,2016-02-10,3,,0,Australia
-38.0592,145.344,2016-02-10,4,,0,Australia
-38.1363,145.292,2016-02-10,4,,0,Australia
-33.7954,151.25,2016-02-09,5,20.26,0,Australia
-31.8205,115.791,2016-02-06,4,,0,Australia
-38.0645,145.347,2016-02-06,4,,0,Australia
-37.9942,145.233,2016-02-05,4,,0,Australia
-38.0413,145.305,2016-02-05,5,,0,Australia
-38.0872,145.46,2016-02-05,3,,0,Australia
-41.2818,146.972,2016-02-04,6,,0,Australia
-38.0802,145.267,2016-02-01,7,,0,Australia
-38.0802,145.267,2016-02-01,6,,0,Australia
-33.3517,115.655,2016-01-12,6,,0,Australia
-33.3517,115.655,2016-01-12,6,,0,Australia
-32.218,117.071,2016-01-10,5,,0,Australia
-27.2002,153.115,2016-01-06,4,,0,Australia
-34.8554,138.604,2016-01-03,6,,0,Australia
-32.9023,151.703,2016-01-18,4,,0,Australia
-33.7953,151.251,2016-01-10,3,17.18,0,Australia
-38.2448,145.96,2016-01-10,5,20.1,0,Australia
-34.6339,138.818,2016-01-10,6,20.75,0,Australia
-38.2448,145.96,2017-11-20,6,20.42,0,Australia
-38.2448,145.96,2017-11-19,6,21.14,0,Australia
-43.0177,147.038,2017-11-18,4,18.62,0,Australia
-38.2448,145.96,2017-11-18,6,21.33,0,Australia
-30.5668,151.643,2017-11-16,4,17.99,0,Australia
-38.2448,145.96,2017-11-14,6,21.63,0,Australia
-38.2448,145.96,2017-11-13,6,20.66,0,Australia
-38.2448,145.96,2017-11-12,6,21.79,0,Australia
-30.5042,151.667,2017-11-12,7,22.65,0,Australia
-30.5042,151.667,2017-11-11,7,22.43,0,Australia
-30.5041,151.667,2017-11-09,7,22.46,0,Australia
-38.2448,145.96,2017-11-08,6,21.68,0,Australia
-38.1794,145.104,2017-11-08,5,20.26,0,Australia
-33.84,151.219,2017-11-02,2,16.48,0,Australia
-33.8401,151.219,2017-11-02,3,17.14,0,Australia
-30.0178,151.658,2017-07-24,4,,0,Australia
-27.5623,153.224,2017-10-29,1,15.47,0,Australia
-38.2448,145.96,2017-10-26,6,21.56,0,Australia
-30.5041,151.667,2017-10-23,6,20.4,0,Australia
-30.5042,151.667,2017-10-23,7,22.35,0,Australia
-30.5043,151.667,2017-10-22,6,21.2,0,Australia
-30.5041,151.667,2017-10-22,6,20.73,0,Australia
-30.5041,151.667,2017-10-22,6,20.99,0,Australia
-30.5043,151.667,2017-10-21,5,20.01,0,Australia
-30.5041,151.667,2017-10-22,7,22.51,0,Australia
-22.8031,148.69,2017-10-20,5,20.22,0,Australia
-30.5042,151.668,2017-10-19,6,21.43,0,Australia
-36.0283,150.146,2017-10-19,6,21.17,0,Australia
-36.0282,150.146,2017-10-19,6,21.09,0,Australia
-38.2448,145.96,2017-10-18,6,21.13,0,Australia
-30.5043,151.667,2017-10-19,7,22.05,0,Australia
-34.6278,138.47,2017-10-09,4,18.15,0,Australia
-38.2448,145.96,2017-10-16,6,21.43,0,Australia
-37.8865,145.023,2017-10-16,5,19.72,0,Australia
-38.2448,145.96,2017-10-15,6,20.66,0,Australia
-37.8801,144.74,2017-10-15,5,19.89,0,Australia
-37.8866,145.023,2017-10-14,5,19.37,0,Australia
-38.2448,145.96,2017-10-14,6,21.2,0,Australia
-35.3176,149.085,2017-10-12,5,19.45,0,Australia
-33.9773,116.134,2017-10-12,6,,0,Australia
-38.2448,145.96,2017-10-10,6,20.5,0,Australia
-38.2448,145.96,2017-10-09,6,21.14,0,Australia
-35.1166,147.296,2017-09-24,5,19.25,0,Australia
-33.0563,149.933,2017-09-24,6,21.06,0,Australia
-35.1166,147.296,2017-09-24,4,18.26,0,Australia
-31.922,115.76,2017-02-02,5,19.71,0,Australia
-31.922,115.76,2017-02-02,5,19.61,0,Australia
-31.922,115.759,2017-02-02,5,19.13,0,Australia
-25.7936,113.719,2017-06-17,6,20.55,0,Australia
-38.2448,145.96,2017-09-17,6,20.75,0,Australia
-33.7924,151.12,2017-09-17,4,18.8,0,Australia
-37.8691,144.99,2017-09-17,2,,0,Australia
-37.8614,144.996,2017-09-17,2,,0,Australia
-33.7915,151.114,2017-09-17,4,18.87,0,Australia
-33.7914,151.114,2017-09-17,4,,0,Australia
-37.9047,145.071,2017-09-17,2,,0,Australia
-38.2453,145.96,2017-09-16,6,21.56,0,Australia
-37.0682,142.794,2017-09-12,6,20.65,0,Australia
-33.673,150.863,2017-09-12,3,,0,Australia
-38.2448,145.96,2017-09-10,6,20.85,0,Australia
-38.1795,145.104,2017-09-09,6,20.85,0,Australia
-37.8882,145.086,2017-09-10,2,,0,Australia
-38.2448,145.96,2017-09-09,6,21.55,0,Australia
-38.2448,145.96,2017-08-31,5,20.22,0,Australia
-38.2448,145.96,2017-08-30,6,21.46,0,Australia
-38.2448,145.96,2017-08-28,5,20.38,0,Australia
-38.2448,145.96,2017-08-27,6,20.9,0,Australia
-30.3119,139.334,2017-08-24,5,20.28,0,Australia
-30.3119,139.334,2017-08-24,6,20.7,0,Australia
-30.4482,151.621,2017-08-22,6,21.41,0,Australia
-30.4481,151.621,2017-08-22,6,21.24,0,Australia
-38.2448,145.96,2017-08-20,6,21.53,0,Australia
-30.312,139.334,2017-08-18,6,21.28,0,Australia
-30.5043,151.667,2017-08-18,6,20.5,0,Australia
-30.5042,151.667,2017-08-18,7,22.24,0,Australia
-35.3173,149.083,2017-08-18,5,19.52,0,Australia
-30.5042,151.667,2017-08-17,5,20.15,0,Australia
-30.312,139.334,2017-08-17,6,20.56,0,Australia
-30.312,139.334,2017-08-17,6,20.54,0,Australia
-38.2448,145.96,2017-08-14,6,20.42,0,Australia
-38.2448,145.96,2017-08-13,6,21.39,0,Australia
-35.3205,149.08,2017-08-09,5,19.31,0,Australia
-38.2448,145.96,2017-08-01,6,20.66,0,Australia
-37.8201,144.979,2017-08-01,5,19.99,0,Australia
-37.977,145.237,2017-07-31,5,19.68,0,Australia
-38.2448,145.96,2017-07-31,6,21.06,0,Australia
-38.2448,145.96,2017-07-30,6,20.66,0,Australia
-30.4481,151.621,2017-07-25,6,20.66,0,Australia
-30.5042,151.668,2017-07-26,6,21.0,0,Australia
-38.2448,145.96,2017-07-12,5,20.11,0,Australia
-30.3115,139.334,2017-06-25,6,21.29,0,Australia
-30.3125,139.336,2017-07-18,6,20.74,0,Australia
-35.3486,149.098,2017-07-19,5,20.05,0,Australia
-37.8954,146.775,2017-07-21,5,20.39,0,Australia
-37.8881,146.763,2017-07-21,6,21.98,0,Australia
-38.2448,145.96,2017-07-21,6,20.94,0,Australia
-35.3802,138.746,2017-07-23,5,19.39,0,Australia
-30.3317,139.375,2017-07-23,6,20.91,0,Australia
-30.3317,139.375,2017-07-23,6,20.6,0,Australia
-30.3317,139.375,2017-07-23,6,20.96,0,Australia
-30.3115,139.333,2017-07-23,6,20.89,0,Australia
-30.019,151.657,2017-07-24,6,20.86,0,Australia
-30.0179,151.658,2017-07-24,6,21.02,0,Australia
-30.0178,151.658,2017-07-24,6,20.55,0,Australia
-30.5042,151.667,2017-07-24,6,20.61,0,Australia
-30.4536,151.626,2017-07-25,7,22.7,0,Australia
-30.034,151.634,2017-07-24,7,23.05,0,Australia
-30.5041,151.667,2017-07-24,7,22.1,0,Australia
-30.5041,151.667,2017-07-24,7,22.4,0,Australia
-30.5042,151.667,2017-07-22,7,22.43,0,Australia
-30.5043,151.667,2017-07-22,7,22.54,0,Australia
-35.1773,147.369,2017-07-20,6,,0,Australia
-38.2447,145.96,2017-07-01,5,20.01,0,Australia
-26.7598,152.865,2017-07-02,6,20.61,0,Australia
-38.2448,145.96,2017-07-02,5,20.11,0,Australia
-38.66,145.784,2017-06-18,6,20.63,0,Australia
-38.2448,145.96,2017-06-20,6,20.62,0,Australia
-30.4608,151.571,2017-06-22,6,20.93,0,Australia
-30.3123,139.337,2017-06-24,6,20.95,0,Australia
-30.3117,139.336,2017-06-24,5,19.71,0,Australia
-30.3117,139.336,2017-06-24,6,21.54,0,Australia
-30.3118,139.336,2017-06-24,6,21.12,0,Australia
-30.3118,139.336,2017-06-24,5,20.25,0,Australia
-30.3115,139.334,2017-06-25,6,20.99,0,Australia
-37.8523,145.3,2017-06-26,5,19.57,0,Australia
-38.2447,145.96,2017-06-26,6,20.79,0,Australia
-38.2448,145.96,2017-06-28,5,20.26,0,Australia
-38.2447,145.96,2017-06-07,5,19.3,0,Australia
-38.2447,145.96,2017-06-09,5,19.07,0,Australia
-38.2449,145.96,2017-06-10,4,18.92,0,Australia
-33.7245,150.729,2017-06-12,5,20.39,0,Australia
-37.8954,146.775,2017-06-15,6,21.6,0,Australia
-38.2362,145.861,2017-06-15,6,20.92,0,Australia
-38.2448,145.96,2017-06-16,6,21.25,0,Australia
-38.2448,145.96,2017-06-04,5,19.83,0,Australia
-30.4608,151.571,2017-05-29,6,20.75,0,Australia
-36.4933,144.613,2017-05-30,6,20.41,0,Australia
-36.4933,144.613,2017-05-31,6,21.71,0,Australia
-36.4933,144.613,2017-06-02,6,21.57,0,Australia
-30.5042,151.667,2017-05-26,5,20.1,0,Australia
-38.2448,145.96,2017-05-26,6,21.6,0,Australia
-30.5042,151.667,2017-05-26,6,21.7,0,Australia
-30.5042,151.667,2017-05-25,6,21.54,0,Australia
-38.2448,145.96,2017-05-15,5,20.32,0,Australia
-38.2443,145.96,2017-05-20,6,21.66,0,Australia
-33.0141,149.782,2017-04-28,6,20.77,0,Australia
-30.5645,118.487,2017-04-28,5,19.81,0,Australia
-30.5644,118.487,2017-04-28,5,19.74,0,Australia
-27.5561,153.227,2017-04-30,5,19.53,0,Australia
-38.2447,145.96,2017-05-03,5,20.17,0,Australia
-38.2447,145.96,2017-05-10,4,18.37,0,Australia
-30.5042,151.667,2017-05-07,6,,0,Australia
-30.5042,151.667,2017-05-05,6,,0,Australia
-30.5041,151.667,2017-04-30,6,21.67,0,Australia
-30.5042,151.667,2017-04-29,6,21.97,0,Australia
-30.5042,151.667,2017-04-28,6,21.43,0,Australia
-28.2726,153.581,2017-04-05,1,15.44,0,Australia
-37.8666,145.377,2017-04-05,4,18.78,0,Australia
-38.6773,145.78,2017-04-07,3,17.19,0,Australia
-33.88,151.212,2017-04-10,5,19.09,0,Australia
-38.2448,145.96,2017-04-13,5,20.22,0,Australia
-35.2383,149.071,2017-04-15,5,19.69,0,Australia
-38.2448,145.96,2017-04-16,5,19.77,0,Australia
-27.5622,153.224,2017-04-16,5,19.96,0,Australia
-38.2448,145.96,2017-04-17,6,20.44,0,Australia
-31.0854,150.932,2017-04-17,5,20.03,0,Australia
-38.2448,145.96,2017-04-17,6,20.71,0,Australia
-37.8953,146.775,2017-04-18,6,21.32,0,Australia
-38.1876,145.995,2017-04-18,6,21.09,0,Australia
-30.461,151.571,2017-04-21,6,20.48,0,Australia
-30.4606,151.571,2017-04-24,6,21.47,0,Australia
-30.5044,151.668,2017-04-24,6,21.64,0,Australia
-34.0645,138.247,2017-04-21,6,,0,Australia
-33.831,151.215,2017-04-01,4,18.61,0,Australia
-33.7687,151.09,2017-04-01,4,18.56,0,Australia
-33.7627,151.089,2017-04-01,4,18.53,0,Australia
-33.7626,151.089,2017-04-01,4,18.62,0,Australia
-33.7626,151.089,2017-04-01,6,20.59,0,Australia
-33.7626,151.089,2017-04-01,4,18.54,0,Australia
-26.7598,152.865,2017-04-01,6,21.05,0,Australia
-37.8804,144.74,2017-04-03,4,18.64,0,Australia
-37.8802,144.74,2017-04-03,5,19.6,0,Australia
-26.8807,151.597,2017-04-03,6,21.82,0,Australia
-26.2994,151.257,2017-04-01,6,21.85,0,Australia
-32.0871,116.002,2017-03-30,5,,0,Australia
-32.0872,116.002,2017-03-29,3,,0,Australia
-30.5044,151.668,2017-03-28,7,22.05,0,Australia
-37.8198,145.021,2017-02-26,3,,0,Australia
-30.5045,151.668,2017-02-22,7,22.11,0,Australia
-30.5045,151.668,2017-02-20,6,21.81,0,Australia
-34.8628,138.678,2017-01-26,6,20.43,0,Australia
-30.5043,151.668,2017-01-24,6,21.14,0,Australia
-31.9219,115.759,2017-02-01,5,19.42,0,Australia
-31.922,115.76,2017-02-01,5,20.29,0,Australia
-31.9222,115.76,2017-02-01,5,19.76,0,Australia
-37.82,145.023,2017-02-04,3,,0,Australia
-37.8462,145.16,2017-02-04,4,,0,Australia
-30.5045,151.668,2017-02-01,7,22.05,0,Australia
-30.5044,151.668,2017-01-31,6,21.17,0,Australia
-27.5177,152.825,2017-01-29,4,,0,Australia
-30.5042,151.667,2017-01-29,6,21.95,0,Australia
-30.5045,151.668,2017-01-28,6,21.14,0,Australia
-30.5129,151.663,2017-01-23,6,21.21,0,Australia
-38.2448,145.96,2017-01-22,6,21.77,0,Australia
-30.5043,151.668,2017-01-24,7,22.23,0,Australia
-30.5033,151.668,2017-01-23,7,22.22,0,Australia
-30.5026,151.67,2017-01-22,7,22.07,0,Australia
-35.3814,149.064,2017-01-21,5,,0,Australia
-26.6287,152.772,2018-10-30,6,21.82,0,Australia
-26.5237,152.786,2018-11-12,6,21.73,0,Australia
-26.7319,152.727,2018-11-11,6,21.64,0,Australia
