datetime,date,lat,lon,geomag_lat,colours_naked_eye,special_forms,primary_colour,n_colours,kp_max,kp_mean
2024-05-11,2024-05-11,-43.4,147.2,-54.3,"red,green,purple/pink/magenta",,red,3,9.0,8.375
2024-05-11,2024-05-11,-34.2,142.1,-45.0,purple/pink/magenta,,purple/pink/magenta,1,9.0,8.375
2024-05-11,2024-05-11,-41.4,147.1,-52.2,"red,green,purple/pink/magenta",,red,3,9.0,8.375
2024-05-11,2024-05-11,-41.4,147.1,-52.2,"green,purple/pink/magenta",,green,2,9.0,8.375
2024-05-11,2024-05-11,-43.0,147.1,-53.9,"red,green,purple/pink/magenta",STEVE,red,3,9.0,8.375
2024-05-11,2024-05-11,-43.4,147.2,-54.3,"green,purple/pink/magenta",,green,2,9.0,8.375
2024-05-11,2024-05-11,-36.7,141.6,-47.7,"red,green,purple/pink/magenta",,red,3,9.0,8.375
2024-05-10,2024-05-10,-43.2,147.8,-54.0,"red,green,blue,purple/pink/magenta",Dunes,red,4,8.667,4.791875
2024-05-11,2024-05-11,-43.0,147.4,-53.9,"green,purple/pink/magenta",,green,2,9.0,8.375
2024-05-11,2024-05-11,-42.9,147.3,-53.7,"red,green,blue,purple/pink/magenta",,red,4,9.0,8.375
2024-05-11,2024-05-11,-42.9,147.3,-53.7,"red,green,purple/pink/magenta",,red,3,9.0,8.375
2024-05-11,2024-05-11,-42.8,147.3,-53.7,"green,purple/pink/magenta",,green,2,9.0,8.375
2024-05-11,2024-05-11,-38.2,145.3,-49.0,"red,green,purple/pink/magenta",,red,3,9.0,8.375
2024-05-12,2024-05-12,-33.5,151.4,-43.3,green,,green,1,7.0,4.58325
2024-05-11,2024-05-11,-41.5,146.7,-52.4,"red,green,blue,purple/pink/magenta","Dunes,STEVE",red,4,9.0,8.375
2024-05-11,2024-05-11,-42.9,147.3,-53.7,"red,green,purple/pink/magenta",Dunes,red,3,9.0,8.375
2024-05-11,2024-05-11,-42.9,147.3,-53.7,"red,green,blue,purple/pink/magenta",Dunes,red,4,9.0,8.375
2024-05-11,2024-05-11,-43.0,147.3,-53.9,"red,green,purple/pink/magenta",STEVE,red,3,9.0,8.375
2024-05-11,2024-05-11,-37.7,145.1,-48.4,"red,green,purple/pink/magenta",,red,3,9.0,8.375
2024-05-11,2024-05-11,-35.0,138.9,-46.1,purple/pink/magenta,,purple/pink/magenta,1,9.0,8.375
2024-05-10,2024-05-10,-43.1,147.8,-53.9,"red,purple/pink/magenta",STEVE,red,2,8.667,4.791875
2024-05-11,2024-05-11,-33.8,150.7,-43.8,purple/pink/magenta,,purple/pink/magenta,1,9.0,8.375
2024-05-11,2024-05-11,-38.0,144.1,-48.8,"red,purple/pink/magenta",,red,2,9.0,8.375
2024-05-11,2024-05-11,-37.5,143.6,-48.4,"green,purple/pink/magenta","Dunes,SAR arc",green,2,9.0,8.375
2024-05-11,2024-05-11,-43.2,147.1,-54.1,"red,green,purple/pink/magenta",,red,3,9.0,8.375
2024-05-11,2024-05-11,-16.8,145.4,-26.5,"red,green,purple/pink/magenta",,red,3,9.0,8.375
2024-05-10,2024-05-10,-20.7,116.8,-31.0,purple/pink/magenta,,purple/pink/magenta,1,8.667,4.791875
2024-05-11,2024-05-11,-35.3,136.9,-46.5,"red,green,purple/pink/magenta",STEVE,red,3,9.0,8.375
2024-05-10,2024-05-10,-41.2,144.7,-52.2,"red,green,purple/pink/magenta","Dunes,SAR arc",red,3,8.667,4.791875
2024-05-11,2024-05-11,-32.0,116.0,-43.6,"red,purple/pink/magenta",,red,2,9.0,8.375
2024-05-11,2024-05-11,-34.5,145.7,-45.0,"red,green",,red,2,9.0,8.375
