datetime,lat,lon,geomag_lat,solar_zenith_angle,colours_naked_eye,special_forms,primary_colour,n_colours,seen
2024-05-11,-35.0,138.9,-46.1,104.1,purple/pink/magenta,,purple/pink/magenta,1,True
2024-05-10,-43.1,147.8,-53.9,126.6,"red,purple/pink/magenta",STEVE,red,2,True
2024-05-11,-33.8,150.7,-43.8,125.9,purple/pink/magenta,,purple/pink/magenta,1,True
2024-05-11,-38.0,144.1,-48.8,97.2,"red,purple/pink/magenta",,red,2,True
2024-05-11,-37.5,143.6,-48.4,108.3,"green,purple/pink/magenta","Dunes,SAR arc",green,2,True
2024-05-11,-43.2,147.1,-54.1,101.2,"red,green,purple/pink/magenta",,red,3,True
2024-05-11,-16.8,145.4,-26.5,147.4,"red,green,purple/pink/magenta",,red,3,True
2024-05-10,-20.7,116.8,-31.0,111.9,purple/pink/magenta,,purple/pink/magenta,1,True
2024-05-11,-35.3,136.9,-46.5,145.2,"red,green,purple/pink/magenta",STEVE,red,3,True
2024-05-10,-41.2,144.7,-52.2,127.4,"red,green,purple/pink/magenta","Dunes,SAR arc",red,3,True
2024-05-11,-32.0,116.0,-43.6,110.6,"red,purple/pink/magenta",,red,2,True
2024-05-11,-34.5,145.7,-45.0,112.5,"red,green",,red,2,True
