datetime,year,lat,lon,altitude_km,velocity_kms,radiated_energy_J,impact_energy_kt
12/11/2023 8:32,2023,-53.6,146.0,31.7,26.0,122000000000.0,0.36
12/5/2023 23:10,2023,10.0,42.9,24.1,20.6,21000000000.0,0.076
11/21/2023 22:17,2023,-9.4,17.4,37.0,18.3,44000000000.0,0.15
10/30/2023 7:22,2023,-42.9,-44.7,33.8,17.6,26100000000.0,0.092
10/26/2023 8:58,2023,45.9,-174.8,44.2,30.2,292000000000.0,0.78
10/23/2023 2:51,2023,-49.6,75.4,39.0,,53500000000.0,0.17
10/16/2023 17:14,2023,-6.5,-65.4,35.3,19.8,31200000000.0,0.11
10/14/2023 22:55,2023,-8.4,-161.9,37.0,19.3,54400000000.0,0.18
9/28/2023 20:32,2023,13.2,72.4,37.0,,50100000000.0,0.16
9/7/2023 15:34,2023,27.0,150.8,,,21600000000.0,0.078
9/3/2023 4:28,2023,-43.2,102.2,37.0,,22900000000.0,0.082
8/17/2023 5:57,2023,48.6,100.1,35.4,16.1,104000000000.0,0.31
8/5/2023 19:54,2023,19.9,-131.7,44.0,21.8,1720000000000.0,3.8
7/26/2023 3:41,2023,18.9,-103.4,36.1,15.6,152000000000.0,0.44
7/7/2023 16:15,2023,14.5,-126.6,38.3,25.7,26200000000.0,0.093
7/6/2023 5:52,2023,-59.3,-145.4,71.0,,31200000000.0,0.11
6/21/2023 19:39,2023,12.4,62.8,40.4,18.1,547000000000.0,1.4
5/20/2023 11:22,2023,-17.8,141.9,29.0,27.9,3510000000000.0,7.1
5/16/2023 23:28,2023,-2.8,-53.0,,,30600000000.0,0.11
5/7/2023 23:00,2023,36.1,3.9,,,39800000000.0,0.13
4/26/2023 13:14,2023,47.0,-10.7,29.6,16.2,32000000000.0,0.11
4/15/2023 8:21,2023,-20.1,36.0,41.4,17.2,3210000000000.0,6.5
4/6/2023 14:47,2023,57.4,109.9,31.2,22.1,69400000000.0,0.22
4/1/2023 0:02,2023,-16.8,76.0,61.8,46.4,23400000000.0,0.084
3/20/2023 6:53,2023,-23.7,-132.6,34.8,,26900000000.0,0.095
3/11/2023 8:21,2023,-74.7,79.5,32.0,,445000000000.0,1.1
3/3/2023 2:53,2023,40.1,87.4,32.0,25.3,64200000000.0,0.2
