glat,glon,lat,lon,mean_mag,n_obs,nearest_city,dist_km
-35.0,118.0,-35.003280000000004,117.92139999999999,4.2,5,Perth,389.6
-35.0,137.5,-34.93606666666667,137.598,5.67,3,Adelaide,91.3
-35.0,138.5,-34.90967391304348,138.61641304347825,4.02,46,Adelaide,2.7
-35.0,139.0,-35.142540000000004,139.0024,5.8,5,Adelaide,43.6
-35.0,139.5,-35.0428,139.377,5.0,1,Adelaide,71.9
-35.0,147.5,-35.118759999999995,147.395,4.8,5,Canberra,158.7
-35.0,149.0,-35.1776938702656,149.08488645902023,3.94,32,Canberra,12.1
-35.0,149.5,-35.19596,149.3904,6.4,5,Canberra,25.4
-35.0,150.5,-34.952275,150.63045833333334,4.38,24,Sydney,131.6
-35.0,151.0,-34.8481,150.75566666666666,3.67,3,Sydney,116.5
-34.5,115.0,-34.3063,115.16,2.0,1,Perth,270.0
-34.5,116.0,-34.3171,116.176,6.0,1,Perth,264.8
-34.5,117.5,-34.52923333333333,117.65866666666666,5.17,6,Perth,332.0
-34.5,118.0,-34.3163295,118.1903763,6.0,1,Perth,341.0
-34.5,138.5,-34.64762,138.6462,4.2,5,Adelaide,31.7
-34.5,139.0,-34.685633333333335,139.00466666666668,6.67,3,Adelaide,45.9
-34.5,139.5,-34.6071,139.296,5.0,1,Adelaide,73.0
-34.5,140.5,-34.37554,140.58679999999998,5.0,5,Adelaide,191.9
-34.5,146.0,-34.3406,146.082,5.0,2,Canberra,297.2
-34.5,146.5,-34.5546,146.391,4.0,1,Canberra,262.4
-34.5,149.0,-34.7249,149.179,5.0,1,Canberra,61.9
-34.5,149.5,-34.7341,149.535,4.0,1,Canberra,71.0
-34.5,150.0,-34.675,150.212,6.0,4,Canberra,119.3
-34.5,150.5,-34.48774241924891,150.4426643845577,5.11,28,Sydney,98.5
-34.5,151.0,-34.498223075288145,150.8606946927325,3.46,37,Sydney,76.9
-34.0,115.0,-33.966730299186864,115.0565066538331,5.43,7,Perth,236.4
-34.0,116.0,-33.97823333333333,116.141,5.67,3,Perth,227.0
-34.0,116.5,-33.9604,116.31,7.0,1,Perth,227.5
-34.0,117.0,-33.914699999999996,116.9975,7.0,2,Perth,242.9
-34.0,120.0,-33.956252001093624,119.91765573176136,6.0,1,Perth,439.4
-34.0,120.5,-33.8329,120.281,4.0,1,Perth,462.8
-34.0,122.0,-33.8661,121.885,4.0,2,Perth,601.3
-34.0,122.5,-33.823825698411795,122.29095844985002,6.0,1,Perth,635.5
-34.0,137.5,-34.0692,137.585,5.0,1,Adelaide,133.5
-34.0,138.0,-34.0645,138.247,6.0,1,Adelaide,101.5
-34.0,139.0,-34.0855,138.786,6.0,1,Adelaide,95.4
-34.0,140.0,-34.1748,139.972,7.0,1,Adelaide,151.1
-34.0,140.5,-34.2495,140.41,6.0,1,Adelaide,182.1
-34.0,142.0,-34.202371428571425,142.147,3.43,7,Adelaide,334.7
-34.0,150.5,-33.95670833333333,150.66266666666667,4.08,12,Sydney,51.4
-34.0,151.0,-33.86391163205027,151.10358647542643,3.22,246,Sydney,9.8
-34.0,151.5,-33.79935454545455,151.27640909090908,3.82,22,Sydney,10.0
-33.5,115.0,-33.68008571428572,115.14014285714286,3.86,7,Perth,203.8
-33.5,115.5,-33.488128571428575,115.53642857142856,4.52,21,Perth,173.7
-33.5,116.0,-33.446275,115.88575,4.75,8,Perth,166.4
-33.5,117.5,-33.3048,117.349,6.0,1,Perth,205.3
-33.5,121.5,-33.6596,121.629,5.0,1,Perth,571.6
-33.5,137.0,-33.6822,136.918,6.0,1,Adelaide,207.6
-33.5,148.5,-33.2858,148.742,3.0,1,Canberra,224.6
-33.5,149.5,-33.62834285714286,149.59828571428574,5.29,7,Sydney,151.4
-33.5,150.0,-33.3795,150.1385,5.5,2,Sydney,113.2
-33.5,150.5,-33.660325,150.48905,3.8,20,Sydney,70.6
-33.5,151.0,-33.69769,151.069,3.74,50,Sydney,23.2
-33.5,151.5,-33.44477846666667,151.37739380987654,3.9,81,Sydney,49.8
-33.0,115.5,-32.979,115.70249999999999,5.0,4,Perth,115.4
-33.0,116.5,-32.7694,116.488,6.0,2,Perth,108.5
-33.0,117.0,-32.8082602,116.874792,6.0,1,Perth,134.9
-33.0,137.5,-33.038,137.575,2.0,1,Adelaide,230.6
-33.0,148.0,-32.9789995,148.2443206,6.0,1,Canberra,268.5
-33.0,150.0,-33.03075,150.0345,5.0,6,Sydney,143.5
-33.0,151.0,-32.938649999999996,151.13,5.0,2,Sydney,103.8
-33.0,151.5,-33.00514214361268,151.57386132732353,3.71,85,Sydney,101.9
-33.0,152.0,-32.90973333333333,151.81866666666667,4.0,6,Sydney,120.8
-32.5,115.5,-32.50541578947368,115.70484210526315,3.26,19,Perth,63.5
-32.5,116.0,-32.400821212121215,115.79890909090909,3.88,33,Perth,50.5
-32.5,116.5,-32.3783,116.253,5.0,1,Perth,60.3
-32.5,138.0,-32.4768,137.772,4.0,1,Adelaide,283.3
-32.5,138.5,-32.7339,138.611,2.0,1,Adelaide,244.2
-32.5,148.5,-32.253600000000006,148.615,3.0,2,Sydney,301.3
-32.5,149.5,-32.5849,149.58633333333333,4.67,3,Sydney,207.9
-32.5,150.0,-32.64902,149.8778,6.2,5,Sydney,183.8
-32.5,150.5,-32.453,150.704,6.5,2,Sydney,164.5
-32.5,151.0,-32.5085,151.0215,4.38,8,Sydney,152.4
-32.5,151.5,-32.700925,151.63925,4.0,4,Sydney,136.0
-32.5,152.0,-32.60943565645001,152.01519874702612,3.7,10,Sydney,158.9
-32.5,152.5,-32.41528247285261,152.4210065911061,5.5,2,Sydney,197.2
-32.0,115.5,-31.823766666666668,115.73933333333333,3.17,6,Perth,18.1
-32.0,116.0,-31.9656375152905,115.8783536009673,3.38,292,Perth,2.5
-32.0,116.5,-31.839433333333332,116.32933333333334,6.0,3,Perth,46.0
-32.0,117.0,-32.165000000000006,116.995,5.5,2,Perth,109.6
-32.0,149.0,-32.2436,148.858,5.0,1,Sydney,284.2
-32.0,149.5,-31.8257,149.711,4.0,1,Sydney,267.0
-32.0,150.5,-32.215833333333336,150.39566666666667,5.0,3,Sydney,199.0
-32.0,151.0,-32.01595745891482,151.12654688651446,5.5,2,Sydney,206.3
-32.0,151.5,-32.245775,151.68099999999998,4.75,4,Sydney,185.9
-32.0,152.0,-32.016,151.964,6.5,2,Sydney,217.8
-32.0,152.5,-31.97686362900067,152.4605040032524,4.8,10,Sydney,240.7
-31.5,115.5,-31.56646,115.6852,4.6,15,Perth,45.7
-31.5,116.0,-31.726329052488094,115.8546726147906,3.5,6,Perth,24.9
-31.5,116.5,-31.485344444444447,116.48144444444445,5.78,9,Perth,78.3
-31.5,147.0,-31.5639,147.206,3.0,1,Canberra,450.1
-31.5,149.0,-31.2767,149.203,2.0,1,Sydney,344.2
-31.5,149.5,-31.28590276182896,149.26617022882797,4.0,6,Sydney,340.2
